"","3dprinting","academia","ai","android","anime","apple","arduino","astronomy","aviation","avp","beer","bicycles","bioinformatics","biology","bitcoin","blender","boardgames","bricks","buddhism","cardano","chemistry","chess","chinese","christianity","civicrm","codegolf","codereview","coffee","cogsci","computergraphics","conlang","cooking","craftcms","crafts","crypto","cs","cseducators","cstheory","datascience","dba","devops","diy","drones","drupal","dsp","earthscience","ebooks","economics","electronics","elementaryos","ell","emacs","engineering","english","eosio","esperanto","ethereum","expatriates","expressionengine","fitness","freelancing","french","gamedev","gardening","genealogy","german","gis","graphicdesign","ham","hardwarerecs","health","hermeneutics","hinduism","history","homebrew","hsm","interpersonal","iota","islam","italian","japanese","joomla","judaism","korean","languagelearning","latin","law","lifehacks","linguistics","literature","magento","martialarts","materials","math","matheducators","mathematica","mechanics","moderators","money","movies","music","musicfans","mythology","physics","pm","poker","politics","portuguese","pt","puzzling","quant","quantumcomputing","raspberrypi","retrocomputing","reverseengineering","robotics","rpg","ru","rus","russian","salesforce","scicomp","scifi","security","sharepoint","sitecore","skeptics","softwareengineering","softwarerecs","sound","space","spanish","sports","sqa","stackapps","stats","stellar","superuser","sustainability","tex","tezos","tor","travel","tridion","ukrainian","unix","ux","vegetarianism","vi","webapps","webmasters","windowsphone","woodworking","wordpress","workplace","worldbuilding","writers","index"
"11",4714,56252,9203,34403,8522,55415,17458,12141,22714,6051,1216,23995,3103,15311,20665,46155,15498,2694,13245,625,27830,12903,7514,23778,6927,48435,61292,1833,5458,2794,457,27111,8223,2392,23744,34280,3385,10957,22241,65443,3550,53060,723,62066,19678,4229,1288,9655,56527,3862,51484,12875,8141,49173,1279,1677,21772,6143,8005,14425,3599,25120,49447,16940,4029,20175,65781,30382,4843,2844,4529,23301,10668,12394,7288,2400,16403,599,13224,4029,15036,5071,19587,1054,1445,3685,19554,3784,7156,4137,56864,4518,1620,63527,6291,50382,20094,1401,44417,16869,37567,1463,1544,46599,13758,3667,19885,5375,151314,28821,14445,5437,25366,6845,6208,5008,57966,10583,298,2952,72279,8612,39608,50680,60657,7002,9923,57400,13287,10898,15425,15701,4666,10490,1876,62515,819,61326,2625,61949,781,3113,39309,4562,254,65013,37301,944,8829,17238,31362,1693,4823,74827,65861,52581,25652,11
"12",4640,53436,8900,33158,8176,53310,16611,11618,21737,5935,1206,23068,2844,14980,19199,45225,14978,2611,13002,612,26919,11675,6884,23110,6742,46620,59128,1631,5208,2693,438,26159,7937,2299,23130,33313,3346,10628,21330,62905,3454,51599,703,60514,18759,4157,1204,9283,53363,3639,49988,12191,7888,46377,1186,1499,20649,5711,7908,14048,3484,23798,48170,16279,3911,19102,64231,29585,4604,2788,4434,22615,10336,12073,7018,2269,16047,578,12677,3763,14098,4980,19157,996,1364,3556,18806,3652,6969,4055,54494,4424,1560,61164,6129,49387,19574,1346,42883,16396,35916,1414,1514,45292,13418,3624,19100,5169,144341,27759,14026,5204,23755,6626,6034,4835,55306,10168,286,2805,68640,8343,38816,49679,58389,6714,9657,54973,13022,10401,14598,14959,4479,10222,1834,60185,788,58111,2493,60095,767,3058,38130,5096,234,62192,35804,851,7931,16800,30259,1657,4697,73195,61543,49599,24773,12
"13",4557,51197,8459,31771,7910,51374,16129,11142,21012,5715,1139,22305,2686,14587,18052,44263,14031,2588,12588,581,25971,10840,6383,22600,6560,44681,57241,1551,5079,2642,437,25172,7722,2225,22455,32340,3228,10060,20486,61062,3348,50321,660,57526,17980,4044,1165,9076,51648,3533,48265,11695,7685,43270,1132,1475,19709,5268,7760,13618,3180,22879,46767,15470,3777,18097,62833,28784,4424,2718,4273,21999,10020,11774,6818,2206,15787,557,12259,3595,13281,4905,18814,989,1345,3383,17871,3504,6695,3993,52247,4302,1511,59396,6019,48557,18849,1335,41401,16122,34565,1383,1478,44256,13004,3557,18553,4782,138038,26919,13443,5046,21993,6412,5817,4662,52698,9717,280,2652,65345,8136,38015,48598,56786,6511,9375,52639,12761,10087,14183,14311,4303,9845,1766,58052,777,55756,2389,58746,719,2987,37057,4813,197,60283,34582,821,7667,16284,28560,1589,4582,71676,59250,47717,23956,13
"14",4305,48863,8259,29631,7645,50302,15402,10716,20246,5534,996,21506,2589,14271,17358,43112,13047,2492,12248,571,24901,10111,6088,22100,6462,42986,55438,1528,4942,2585,409,24171,7330,2167,21918,31499,3126,9644,19711,59103,3232,49195,590,55529,17243,3961,1141,8895,50232,3492,46542,11434,7526,41265,1121,1334,18839,4990,7626,12940,3061,21438,45275,14621,3635,17534,61453,27990,4181,2627,3695,21388,9706,11445,6381,2133,15349,510,11946,3391,12796,4820,18378,927,1266,3251,17273,3425,6483,3898,50206,4157,1467,57082,5914,47389,18340,1187,39801,15679,33513,1331,1436,43142,12547,3450,17908,4633,127771,26144,12930,4912,21035,6296,5627,4529,50719,9274,241,2578,63185,7811,37207,47570,55100,6153,9070,50610,12495,9655,13859,13753,4174,9479,1667,55872,700,53612,2261,57239,697,2934,36005,4695,191,58468,33508,761,7390,15632,27573,1563,4511,70441,57080,45836,23050,14
"15",4114,46771,7928,27525,7370,49271,15001,10277,19748,5354,976,20801,2467,13912,16224,42154,12621,2445,11926,564,24283,9750,5732,21638,6323,41533,53594,1474,4778,2555,399,23400,7075,2100,21247,30715,3046,9267,19141,57459,3064,47806,584,54392,16812,3862,1111,8700,48933,3420,45348,11163,7347,39336,1110,1300,18243,4856,7370,12498,2876,20630,43885,13925,3555,16958,59970,27013,3977,2559,3982,20984,9405,11235,6138,2058,14779,492,11427,3281,12421,4728,17860,915,1249,3169,16721,3294,6348,3821,48482,4038,1418,55227,5821,46515,17894,1134,38554,15258,32466,1301,1412,42047,11978,3278,17285,3914,119543,25462,12429,4765,20162,6186,5394,4316,49065,8871,282,2377,61662,7465,36285,46630,53225,6014,8801,49102,12224,9302,13482,13283,3970,9293,1640,53725,689,51533,2103,55727,672,2846,34823,4584,185,56523,32649,747,7162,15180,26924,1496,4438,68971,55417,44341,22410,15
"16",4049,45451,7742,26369,7102,48066,14596,9958,19204,5250,920,20294,2408,13525,15767,41181,12027,2383,11623,560,23794,9247,5585,21199,6231,40253,51465,1438,4660,2494,378,22459,6884,2012,20620,29820,3003,8952,18634,55789,2980,46887,534,53344,16402,3753,1049,8512,47739,3327,44316,10984,7228,38214,1088,1230,17885,4673,7120,12285,2809,19592,42627,13400,3398,16372,58445,26046,3866,2453,3916,20581,9205,10985,5877,1976,13952,485,11053,3214,12089,4645,17528,906,1237,3074,16296,3217,6173,3771,46482,3921,1336,53439,5710,45792,17560,1101,37522,14846,31350,1264,1396,41256,11362,3060,16634,3760,111632,24179,11926,4611,19445,6049,5269,4204,47744,8544,251,2347,59658,7328,35527,45547,51750,5869,8460,47757,11881,9106,13151,12229,3846,9050,1557,51669,639,49779,2043,54136,644,2822,33764,3810,167,54343,31788,702,6978,14840,26365,1414,4300,67135,53980,42786,21988,16
"17",3975,44460,7469,25531,6805,47005,14285,9623,18679,5125,903,19694,2318,13212,15351,40288,11544,2205,11395,538,23188,8667,5374,20704,6157,39204,49239,1402,4558,2457,364,21534,6657,1943,20225,28837,2886,8619,18169,54111,2873,45729,532,52146,15910,3675,1001,8361,46828,3284,43026,10699,7026,36944,964,1175,17440,4571,6957,12019,2692,18949,41292,13017,3338,15937,57244,25262,3735,2411,3692,20186,8995,10761,5652,1894,13644,476,10675,3124,11803,4541,17091,876,1184,3007,15944,3106,5998,3698,44932,3849,1282,51675,5610,44980,17284,1090,36730,14315,30179,1210,1376,40519,10770,2951,16038,3666,102713,24237,11491,4465,18781,5976,5198,4113,46460,8127,245,2156,57982,7116,34696,44637,49932,5760,8100,46573,11585,8815,12856,11749,3748,8787,1512,49993,637,48454,1978,52946,641,2768,32459,4338,161,52647,31077,698,6769,14433,25574,1344,4166,65360,52594,41126,21356,17
"18",3896,43641,7220,24962,6610,46236,14040,9302,18289,4955,890,19191,2278,12926,15019,39417,11130,2127,11139,531,22524,8389,5241,20378,6050,38152,47381,1391,4444,2372,349,20655,6520,1870,19949,27860,2858,8347,17761,52027,2816,44135,505,50751,15501,3595,978,8229,45910,3164,41749,10437,6849,35666,920,1142,16937,4400,6709,11716,2621,18111,40004,12291,3250,15642,55946,24578,3604,2381,3646,19725,8779,10561,5565,1863,13207,464,10458,2994,11574,4492,16677,854,1171,2939,15400,3020,5861,3656,43502,3632,1272,49874,5543,43970,16992,1056,35984,13822,29371,1169,1344,39792,10341,2905,15463,3465,99655,23640,11129,4405,18451,5875,5054,3993,45249,7906,255,2117,56086,6959,33729,43752,48513,5636,7830,45293,11021,8390,12528,11245,3579,8518,1457,48461,617,47198,1883,51664,600,2745,31279,4257,160,51098,30458,668,6602,14021,24907,1298,4029,62940,51380,39483,20721,18
"19",3858,42757,7065,24439,6389,45348,13760,9112,17901,4749,842,18547,2224,12619,14629,38632,10833,2048,10907,495,21995,8029,5134,20018,5929,37293,45823,1356,4357,2340,346,19891,6378,1810,19637,26990,2794,8164,17331,49777,2753,42778,487,49055,15067,3498,911,8119,45030,3077,40630,10219,6702,34799,891,1127,16616,4308,6547,11243,2579,17490,38371,11840,3167,15221,54736,24001,3481,2271,3585,19261,8593,10331,5416,1821,12964,453,10112,2858,11351,4372,16143,842,1137,2890,15036,2897,5779,3571,42129,3552,1267,48489,5455,42930,16636,1010,35308,13310,28503,1133,1314,39030,9890,2791,14985,2827,97153,23051,10853,4320,18048,5693,4980,3931,44112,7585,247,2058,54743,6879,32867,42976,46949,5507,7624,44223,10482,8123,12331,10748,3436,8248,1410,47355,604,46124,1836,50625,598,2703,30095,4181,156,49728,29958,653,6447,13632,24226,1271,3949,60202,49841,37991,20268,19
"20",3765,42028,6894,24088,6218,44439,13507,8951,17455,4618,826,17950,2181,12292,14345,37860,10622,1969,10695,493,21535,7819,5004,19703,5827,36128,44704,1329,4260,2305,341,19196,6273,1763,19274,26421,2727,7870,16923,47936,2682,41255,469,47782,14691,3456,878,7944,44130,3020,39863,9967,6599,33866,849,1038,16290,4172,6325,10937,2534,16566,36910,11439,3040,14858,53472,23556,3347,2184,3506,18916,8415,10138,5233,1782,12584,441,9744,2669,11116,4199,15733,832,1113,2860,14672,2740,5686,3515,41224,3475,1257,47169,5324,41978,16388,989,34575,12827,27611,1106,1268,38381,9408,2713,14605,2563,94225,22474,10507,4209,17771,5621,4819,3839,43018,7261,220,1984,53425,6646,32108,42023,45511,5422,7400,43191,10052,7886,12158,9525,3356,8004,1339,46285,570,45348,1797,49645,576,2648,29279,4087,155,48352,29352,638,6349,13316,23602,1247,3780,57266,48427,36804,19668,20
"21",3659,41358,6667,23690,6097,43530,13251,8760,17044,4530,800,17182,2143,12037,14146,37235,10448,1913,10504,483,21082,7687,4929,19374,5716,35150,43779,1308,4160,2281,327,18770,6139,1628,18949,25836,2694,7600,16589,46352,2634,39886,463,46164,14362,3388,865,7861,43183,2931,38888,9766,6495,33344,835,987,15946,4078,6160,10609,2479,15394,35614,11163,2896,14589,52112,22957,3257,2158,3407,18447,8255,9960,5061,1753,12275,437,9407,2570,10816,4103,15353,824,1082,2804,14306,2667,5531,3390,40075,3397,1244,45845,5230,40957,16123,970,33832,12503,26569,1090,1230,37820,8961,2654,14239,2366,91750,22057,10136,4045,17530,5523,4702,3787,41769,7008,202,1901,51766,6480,31303,41159,44474,5250,7194,42205,9636,7719,11911,8814,3318,7740,1332,45427,559,44682,1767,48551,547,2627,28435,4023,123,47174,28744,625,6202,13085,23100,1241,3712,55016,46762,35889,19210,21
"22",3554,40581,6526,23277,5991,42829,12976,8594,16628,4438,798,16591,2115,11711,13918,36419,10230,1885,10400,449,20577,7445,4817,19095,5612,34178,42880,1252,4077,2273,314,18328,5976,1612,18576,25283,2642,7410,16127,44873,2571,38733,457,44728,14051,3358,861,7682,42301,2882,38010,9512,6367,32785,800,941,15563,3988,5948,10386,2419,13840,34470,10747,2833,14226,50540,22558,3193,2128,3347,18097,8086,9816,4848,1714,12011,420,9195,2529,10569,3969,15052,784,1062,2726,13559,2573,5400,3290,38716,3324,1225,44822,5163,39825,15769,934,33013,12167,25909,1077,1195,37300,8572,2593,13867,2082,89529,21551,9848,3975,17203,5423,4599,3742,40744,6747,200,1847,50549,6371,30594,40371,43286,5138,6984,41284,9397,7524,11570,7993,3228,7586,1307,44646,557,44058,1728,47609,540,2615,27648,3961,145,46226,28025,606,6090,12779,22362,1216,3606,52857,45214,34915,18671,22
"23",3466,39912,6423,22906,5868,42322,12750,8441,16277,4376,769,16141,2081,11473,13632,35896,10086,1864,10190,439,20130,7298,4739,18844,5472,33378,42035,1183,4009,2239,314,18021,5843,1579,18346,24801,2596,7241,15899,43727,2491,37961,452,42877,13840,3309,850,7555,41584,2802,37219,9365,6297,32234,789,939,15289,3896,5768,10092,2317,13159,33446,10409,2778,13871,49193,21933,3134,2073,3277,17711,7950,9651,4748,1697,11721,411,8863,2376,10271,3864,14607,767,1048,2677,13593,2529,5312,3228,36998,3184,1204,43876,5085,38746,15384,900,32351,11860,25272,1067,1155,36659,8344,2489,13524,1988,86905,20995,9666,3912,16929,5339,4503,3670,39802,6477,218,1791,49390,6230,29823,39533,41587,4967,6524,40538,9143,7378,11389,7460,3085,7453,1257,43945,543,43486,1710,46726,513,2592,26930,3903,144,45258,27492,573,5926,12581,21688,1209,3511,51104,43538,34073,18100,23
"24",3419,39223,6301,22537,5745,41680,12510,8304,15893,4268,764,15682,2057,11173,13402,35216,9897,1848,10031,433,19695,7064,4632,18507,5391,32498,41274,1167,3939,2171,299,17692,5645,1532,18050,24199,2566,7136,15617,42855,2428,37217,435,41342,13546,3240,834,7414,40754,2774,36448,9184,6227,31732,775,913,14964,3762,5559,9939,2288,12538,32614,10078,2738,13580,47843,21414,3086,2002,3242,17268,7809,9493,4653,1665,11491,403,8558,2291,10062,3674,14297,754,1017,2632,13306,2462,5244,3134,35925,3155,1196,43123,5003,37698,15125,858,31668,11592,24635,1044,1124,36171,8137,2419,13317,1951,84179,20558,9481,3837,16710,5259,4424,3594,38915,6282,211,1753,48426,6120,29057,38740,40582,4895,6680,39629,8933,7233,11138,7220,2997,7311,1218,43196,524,42988,1696,45889,478,2526,26198,3826,140,44465,26904,543,5871,12328,21240,1201,3427,49441,42123,33249,17618,24
"25",3300,38639,6212,22193,5602,41115,12327,8134,15475,4186,738,15295,2031,10899,13160,34400,9647,1793,9849,426,19348,6890,4487,18246,5303,31547,40567,1052,3863,2131,299,17355,5518,1494,17831,23803,2519,7027,15336,42052,2393,36512,421,39735,13374,3197,831,7297,40006,2687,35815,9062,6135,31254,759,902,14655,3670,5365,9792,2231,11853,31669,9666,2704,13286,46364,20956,3037,1953,3166,16863,7674,9367,4555,1637,11278,402,8324,2180,9855,3613,13954,746,1007,2567,12927,2376,5163,3007,34904,3076,1166,42318,4935,36691,14845,831,31077,11258,24044,1028,1113,35650,7904,2383,13003,1768,80211,20142,9194,3787,16444,5175,4361,3516,38066,6126,188,1726,47629,6011,28361,37737,39196,4768,6565,38709,8714,7030,10910,6746,2924,7220,1179,42662,505,42514,1673,44920,461,2483,25393,3759,140,43761,26316,537,5766,12098,20801,1187,3340,48142,40618,32523,17208,25
"26",3190,38056,6092,21902,5507,40455,12165,7978,15116,4097,723,15057,2001,10712,12963,33706,9475,1734,9687,405,18992,6674,4382,17970,5190,30590,39835,992,3783,2108,293,17012,5297,1466,17547,23376,2449,6957,15060,41290,2364,35745,415,38658,13150,3149,824,7137,39425,2653,35168,8939,6064,30797,735,837,14311,3536,5170,9652,2204,11316,30807,9241,2626,13047,44876,20589,2957,1920,2782,16578,7570,9214,4422,1622,10976,398,8087,2153,9625,3515,13675,731,975,2460,12699,2222,5075,2975,33961,3021,1135,41614,4894,35821,14491,819,30466,10952,23473,1007,1091,35145,7702,2327,12713,1724,76253,19714,9040,3746,16200,5076,4260,3443,37292,5894,133,1681,46682,5874,27707,36626,38288,4683,6449,37866,8452,6854,10697,6367,2863,7086,1150,42034,501,41952,1625,44108,457,2422,24832,3692,135,43029,25661,533,5713,11936,20320,1176,3239,46814,39143,31925,16791,26
"27",3131,37464,5978,21627,5417,39973,11952,7797,14800,4005,702,14873,1966,10536,12790,33032,9333,1687,9554,401,18596,6512,4299,17658,5103,29615,39035,972,3723,2063,289,16781,5189,1404,17347,23117,2412,6864,14825,40561,2318,35187,408,37433,12981,3091,809,7018,38850,2633,34565,8688,5953,30410,728,823,13997,3463,5028,9446,2106,10868,29925,9031,2560,12754,43753,20177,2910,1894,3075,16272,7473,9092,4379,1606,10695,398,7908,2020,9355,3471,13464,716,960,2388,12423,2100,4954,2894,33336,2970,1127,40906,4782,34981,14166,796,29833,10710,23113,983,1071,34651,7531,2239,12434,1663,73277,19340,8837,3690,15965,4950,4197,3396,36668,5735,160,1655,45904,5807,27079,35582,37492,4607,6305,37107,8338,6736,10554,5923,2802,6956,1109,41332,496,41445,1607,43163,448,2377,24270,3613,132,42373,25152,511,5614,11771,19826,1160,3176,45452,38060,31231,16187,27
